File Path	Display Name	Category (Forward Slash Separated)	Tags (Comma Separated)	Platform Extension	Language Extension
Art/Model/Item/it00/00/0018/it0000_0018_0.chain2	Hanayako Yohino (Chain Physics)	Weapons/Great Sword	it0000_0018_0.chain2,Akanesasu (Chain Physics)		
Art/Model/Item/it00/00/0018/it0000_0018_0.mesh	Hanayako Yohino	Weapons/Great Sword	it0000_0018_0.mesh,Akanesasu		
Art/Model/Item/it00/00/0021/it0000_0021_0.mesh	Zoh Veiah	Weapons/Great Sword	it0000_0021_0.mesh,Blazing Veiah		
Art/Model/Item/it01/00/0025/it0100_0025_0.mesh	Zoh Mikal	Weapons/Sword and Shield	it0100_0025_0.mesh,Blazing Mikal		
Art/Model/Item/it01/00/0025/it0100_0025_1.mesh	Zoh Mikal (Shield)	Weapons/Sword and Shield	it0100_0025_1.mesh,Blazing Mikal (Shield)		
Art/Model/Item/it01/00/0030/it0100_0030_0.chain2	Hana no Nagoriwo (Chain Physics)	Weapons/Sword and Shield	it0100_0030_0.chain2,Kurenawi Ougi (Chain Physics)		
Art/Model/Item/it01/00/0030/it0100_0030_0.mesh	Hana no Nagoriwo	Weapons/Sword and Shield	it0100_0030_0.mesh,Kurenawi Ougi		
Art/Model/Item/it01/00/0030/it0100_0030_1.chain2	Hana no Nagoriwo (Shield) (Chain Physics)	Weapons/Sword and Shield	it0100_0030_1.chain2,Kurenawi Ougi (Shield) (Chain Physics)		
Art/Model/Item/it01/00/0030/it0100_0030_1.mesh	Hana no Nagoriwo (Shield)	Weapons/Sword and Shield	it0100_0030_1.mesh,Kurenawi Ougi (Shield)		
Art/Model/Item/it02/00/0024/it0200_0024_0.mesh	Zoh Liel (L)	Weapons/Dual Blades	it0200_0024_0.mesh,Blazing Liel (L)		
Art/Model/Item/it02/00/0024/it0200_0024_1.mesh	Zoh Liel (R)	Weapons/Dual Blades	it0200_0024_1.mesh,Blazing Liel (R)		
Art/Model/Item/it02/00/0029/it0200_0029_0.chain2	Morning Dawn (L) (Chain Physics)	Weapons/Dual Blades	it0200_0029_0.chain2,Evening Dusk (L) (Chain Physics)		
Art/Model/Item/it02/00/0029/it0200_0029_0.mesh	Morning Dawn (L)	Weapons/Dual Blades	it0200_0029_0.mesh,Evening Dusk (L)		
