File Path	Display Name	Category (Forward Slash Separated)	Tags (Comma Separated)	Platform Extension	Language Extension
Art/Library/Decal/001/Capcom/CC_flower_02_D/CC_flower_02_D_ALBA.tex	CC_flower_02_D_ALBA.tex	TEX Files	CC_flower_02_D_ALBA.tex		
Art/Library/Decal/001/Capcom/CC_flower_02_D/CC_flower_02_D_NRRO.tex	CC_flower_02_D_NRRO.tex	TEX Files	CC_flower_02_D_NRRO.tex		
Art/Library/Decal/001/Capcom/CC_flower_03_D/CC_flower_03_D_ALBA.tex	CC_flower_03_D_ALBA.tex	TEX Files	CC_flower_03_D_ALBA.tex		
Art/Library/Decal/001/Capcom/CC_flower_03_D/CC_flower_03_D_NRRO.tex	CC_flower_03_D_NRRO.tex	TEX Files	CC_flower_03_D_NRRO.tex		
Art/Library/Detail/001/Textures/Capcom/Surface/CC_metal_07_L/CC_metal_07_L_ALBD.tex	CC_metal_07_L_ALBD.tex	TEX Files	CC_metal_07_L_ALBD.tex		
Art/Library/Detail/001/Textures/Capcom/Surface/CC_metal_07_L/CC_metal_07_L_NRRH.tex	CC_metal_07_L_NRRH.tex	TEX Files	CC_metal_07_L_NRRH.tex		
Art/Library/Light/LightPostLibrary/LP_Assets/IES/IES_Spot_04.ies	IES_Spot_04.ies	IES Files	IES_Spot_04.ies		
Art/Library/MaterialLibrary/Textures/Capcom/Surface/02_Detail/CC_Detail_Leather_08/Detail_Leather_08_ALBD.tex	Detail_Leather_08_ALBD.tex	TEX Files	Detail_Leather_08_ALBD.tex		
Art/Library/MaterialLibrary/Textures/Capcom/Surface/02_Detail/CC_Detail_Leather_08/Detail_Leather_08_NRRH.tex	Detail_Leather_08_NRRH.tex	TEX Files	Detail_Leather_08_NRRH.tex		
Art/Library/MaterialLibrary/Textures/Megascans/Surface/00_Ground/Moss_Ground_te4efhel/MS_te4efhel_ALBD.tex	MS_te4efhel_ALBD.tex	TEX Files	MS_te4efhel_ALBD.tex		
Art/Library/MaterialLibrary/Textures/Megascans/Surface/00_Ground/Moss_Ground_te4efhel/MS_te4efhel_NRRH.tex	MS_te4efhel_NRRH.tex	TEX Files	MS_te4efhel_NRRH.tex		
Art/Library/MaterialLibrary/Textures/Megascans/Surface/00_Ground/grass_cut_pjvtA0/MS_pjvtA0_ALBD.tex	MS_pjvtA0_ALBD.tex	TEX Files	MS_pjvtA0_ALBD.tex		
Art/Library/MaterialLibrary/Textures/Megascans/Surface/00_Ground/grass_cut_pjvtA0/MS_pjvtA0_NRRH.tex	MS_pjvtA0_NRRH.tex	TEX Files	MS_pjvtA0_NRRH.tex		
Art/Light/LUT/Event/LUT_Filter04.tex	LUT_Filter04.tex	TEX Files	LUT_Filter04.tex		
Art/Light/LUT/Event/evc0105/evc0105_50_01.tex	evc0105_50_01.tex	TEX Files	evc0105_50_01.tex		
Art/Light/LUT/Event/evc1005/evc1005_50_00.tex	evc1005_50_00.tex	TEX Files	evc1005_50_00.tex		
Art/Light/LUT/Event/st402_phase01.tex	st402_phase01.tex	TEX Files	st402_phase01.tex		
Art/Light/LUT/Event/st553_Filter.tex	st553_Filter.tex	TEX Files	st553_Filter.tex		
Art/Light/LUT/Stage/st553/st553_Fertility.tex	st553_Fertility.tex	TEX Files	st553_Fertility.tex		
Art/Light/LightController/LightController/st553/LCD_st553_LightBlend.tmlbld	LCD_st553_LightBlend.tmlbld	TMLBLD Files	LCD_st553_LightBlend.tmlbld		
Art/Light/LightController/LightController/st553/LCD_st553_PostBlend.tmlbld	LCD_st553_PostBlend.tmlbld	TMLBLD Files	LCD_st553_PostBlend.tmlbld		
Art/Light/LightController/Zone/PointGraphList_st553_Light.poglst	PointGraphList_st553_Light.poglst	POGLST Files	PointGraphList_st553_Light.poglst		
Art/Light/LightController/Zone/PointGraph_st553_Light.pog	PointGraph_st553_Light.pog	POG Files	PointGraph_st553_Light.pog		
Art/Light/LightController/Zone/PointGraph_st553_ZoneClip.pog	PointGraph_st553_ZoneClip.pog	POG Files	PointGraph_st553_ZoneClip.pog		
Art/Light/Light_Assets/IES/IES_Fire_03.ies	IES_Fire_03.ies	IES Files	IES_Fire_03.ies		
Art/Light/Light_Assets/IES/IES_HeadLight_omega_1.ies	IES_HeadLight_omega_1.ies	IES Files	IES_HeadLight_omega_1.ies		
Art/Light/Light_Assets/IES/IES_HeadLight_omega_2.ies	IES_HeadLight_omega_2.ies	IES Files	IES_HeadLight_omega_2.ies		
Art/Light/Light_Assets/IES/IES_HeadLight_omega_3.ies	IES_HeadLight_omega_3.ies	IES Files	IES_HeadLight_omega_3.ies		
Art/Light/Light_Assets/IES/IES_st553_Candle_00.ies	IES_st553_Candle_00.ies	IES Files	IES_st553_Candle_00.ies		
Art/Light/Light_Assets/IES/IES_st553_Candle_01.ies	IES_st553_Candle_01.ies	IES Files	IES_st553_Candle_01.ies		
Art/Light/Light_Assets/Material/Event/M_Post_MCAbe_evc1005_01.mdf2	M_Post_MCAbe_evc1005_01.mdf2	MDF2 Files	M_Post_MCAbe_evc1005_01.mdf2		
Art/Light/Light_Assets/Scene/Lightdevelop/st553_Lightdev.scn	st553_Lightdev.scn	Scene Files	st553_Lightdev.scn		
Art/Light/Light_Assets/Texture/ProjectionTexture/Gm150_012_00_LightMask_00.tex	Gm150_012_00_LightMask_00.tex	TEX Files	Gm150_012_00_LightMask_00.tex		
Art/Light/Light_Assets/Texture/ProjectionTexture/sm46_070_00_A_LightMask_00.tex	sm46_070_00_A_LightMask_00.tex	TEX Files	sm46_070_00_A_LightMask_00.tex		
Art/Light/Light_Assets/UserCurve/Blink/Blink_300_Candle_01.ucurve	Blink_300_Candle_01.ucurve	UCURVE Files	Blink_300_Candle_01.ucurve		
Art/Light/Light_Assets/UserCurve/TimelineAnim/Timeline_2400_Candle_00.ucurve	Timeline_2400_Candle_00.ucurve	UCURVE Files	Timeline_2400_Candle_00.ucurve		
Art/Light/Light_Assets/UserCurve/TimelineAnim/Timeline_2400_Gm167_000_00.ucurve	Timeline_2400_Gm167_000_00.ucurve	UCURVE Files	Timeline_2400_Gm167_000_00.ucurve		
Art/Light/Light_GIPointCloud/AutoGen/01_DeployScene/st553_GIPCDeploySetting.scn	st553_GIPCDeploySetting.scn	Scene Files	st553_GIPCDeploySetting.scn		
Art/Light/Light_GIPointCloud/AutoGen/st553/Scene/GIPC_AutoGen_Fertility.scn	GIPC_AutoGen_Fertility.scn	Scene Files	GIPC_AutoGen_Fertility.scn		
Art/Light/Light_GIPointCloud/AutoGen/st553/TreeAsset/GIPC_Fertility/PointCloud_128_n01_n01.mpci	PointCloud_128_n01_n01.mpci	MPCI Files	PointCloud_128_n01_n01.mpci		
Art/Light/Light_GIPointCloud/AutoGen/st553/TreeAsset/GIPC_Fertility/PointCloud_128_n01_n02.mpci	PointCloud_128_n01_n02.mpci	MPCI Files	PointCloud_128_n01_n02.mpci		
Art/Light/Light_GIPointCloud/AutoGen/st553/TreeAsset/GIPC_Fertility/PointCloud_128_n01_n03.mpci	PointCloud_128_n01_n03.mpci	MPCI Files	PointCloud_128_n01_n03.mpci		
