File Path	Display Name	Category (Forward Slash Separated)	Tags (Comma Separated)	Platform Extension	Language Extension
Art/Model/Item/it00/00/0000/it0000_0000_0.chain2	Jawblade (Chain Physics)	Weapons/Great Sword	it0000_0000_0.chain2,Giant Jawblade		
Art/Model/Item/it00/00/0000/it0000_0000_0.mesh	Jawblade	Weapons/Great Sword	it0000_0000_0.mesh,Giant Jawblade		
Art/Model/Item/it00/00/0001/it0000_0001_0.chain2	Dosha Fellslayer (Chain Physics)	Weapons/Great Sword	it0000_0001_0.chain2,Dosha Fellslayer II,Dosha Fellslayer III		
Art/Model/Item/it00/00/0001/it0000_0001_0.mesh	Dosha Fellslayer	Weapons/Great Sword	it0000_0001_0.mesh,Dosha Fellslayer II,Dosha Fellslayer III		
Art/Model/Item/it00/00/0003/it0000_0003_0.chain2	Fellslayer Dangeom (Chain Physics)	Weapons/Great Sword	it0000_0003_0.chain2		
Art/Model/Item/it00/00/0003/it0000_0003_0.mesh	Fellslayer Dangeom	Weapons/Great Sword	it0000_0003_0.mesh		
Art/Model/Item/it00/00/0004/it0000_0004_0.chain2	Hope Blade (Chain Physics)	Weapons/Great Sword	it0000_0004_0.chain2,Hope Blade II,Hope Blade III,Hope Blade IV,Hope Blade V,Esperanza Blade		
Art/Model/Item/it00/00/0004/it0000_0004_0.mesh	Hope Blade	Weapons/Great Sword	it0000_0004_0.mesh,Hope Blade II,Hope Blade III,Hope Blade IV,Hope Blade V,Esperanza Blade		
Art/Model/Item/it00/00/0005/it0000_0005_0.mesh	Valkyrie Blade	Weapons/Great Sword	it0000_0005_0.mesh,Valkyrie Blade II,Sieglinde		
Art/Model/Item/it00/00/0006/it0000_0006_0.chain2	Quematrice Espada (Chain Physics)	Weapons/Great Sword	it0000_0006_0.chain2,Quematrice Espada II,Quematrice Espada III,Quematrice Espada IV		
Art/Model/Item/it00/00/0006/it0000_0006_0.mesh	Quematrice Espada	Weapons/Great Sword	it0000_0006_0.mesh,Quematrice Espada II,Quematrice Espada III,Quematrice Espada IV		
Art/Model/Item/it00/00/0007/it0000_0007_0.chain2	Firetrail Blaisdell (Chain Physics)	Weapons/Great Sword	it0000_0007_0.chain2		
Art/Model/Item/it00/00/0007/it0000_0007_0.mesh	Firetrail Blaisdell	Weapons/Great Sword	it0000_0007_0.mesh		
Art/Model/Item/it00/00/0008/it0000_0008_0.mesh	Red Wing	Weapons/Great Sword	it0000_0008_0.mesh,Rathalos Firesword		
Art/Model/Item/it00/00/0009/it0000_0009_0.chain2	Schattenstolz (Chain Physics)	Weapons/Great Sword	it0000_0009_0.chain2,Düsterstolz		
Art/Model/Item/it00/00/0009/it0000_0009_0.mesh	Schattenstolz	Weapons/Great Sword	it0000_0009_0.mesh,Düsterstolz		
Art/Model/Item/it00/00/0010/it0000_0010_0.mesh	Immane Blade	Weapons/Great Sword	it0000_0010_0.mesh,Immane Blade II,Immane Blade III,Immolator Blade		
Art/Model/Item/it00/00/0011/it0000_0011_0.chain2	Nu Krake (Chain Physics)	Weapons/Great Sword	it0000_0011_0.chain2,Nu Krake II,Abaddonian Krake		
Art/Model/Item/it00/00/0011/it0000_0011_0.mesh	Nu Krake	Weapons/Great Sword	it0000_0011_0.mesh,Nu Krake II,Abaddonian Krake		
Art/Model/Item/it00/00/0012/it0000_0012_0.mesh	Chicken Decapitator	Weapons/Great Sword	it0000_0012_0.mesh,Chicken Decapitator II,Rooster Decapitator		
Art/Model/Item/it00/00/0013/it0000_0013_0.mesh	Slaughter	Weapons/Great Sword	it0000_0013_0.mesh,Slaughter II,Poison King		
Art/Model/Item/it00/00/0014/it0000_0014_0.mesh	Lagiacrus Blade	Weapons/Great Sword	it0000_0014_0.mesh,High Lagia Blade,Lagiacrus Blade		
Art/Model/Item/it00/00/0015/it0000_0015_0.mesh	Impudent Cheda	Weapons/Great Sword	it0000_0015_0.mesh		
Art/Model/Item/it00/00/0017/it0000_0017_0.chain2	G. Veldian Gladius (Chain Physics)	Weapons/Great Sword	it0000_0017_0.chain2,G. Veldian Gladius II,G. Stalwart Lamorak		
Art/Model/Item/it00/00/0017/it0000_0017_0.mesh	G. Veldian Gladius	Weapons/Great Sword	it0000_0017_0.mesh,G. Veldian Gladius II,G. Stalwart Lamorak		
